weatherid,weatherdate,weatherprovinceid,temperature
3010010,2021-06-01,48,16.9
3010060,2021-06-01,48,17.4
3010162,2021-06-01,48,17.7
3010237,2021-06-01,48,17.0
3010650,2021-06-01,48,17.4
4010811,2021-06-01,47,17.5
4010879,2021-06-01,47,17.7
4012403,2021-06-01,47,18.7
4012410,2021-06-01,47,18.6
4013480,2021-06-01,47,17.7
5010140,2021-06-01,46,19.0
5010481,2021-06-01,46,18.1
5010490,2021-06-01,46,18.8
5010547,2021-06-01,46,19.0
5010641,2021-06-01,46,19.4
6010400,2021-06-01,35,10.4
6010735,2021-06-01,35,13.0
6010740,2021-06-01,35,12.9
6012199,2021-06-01,35,17.8
6012501,2021-06-01,35,6.5
7010565,2021-06-01,24,19.4
7011983,2021-06-01,24,17.5
7014160,2021-06-01,24,21.0
7015791,2021-06-01,24,12.7
7016293,2021-06-01,24,18.4
8100300,2021-06-01,13,18.0
8100467,2021-06-01,13,16.9
8100506,2021-06-01,13,17.1
8100885,2021-06-01,13,16.7
8100989,2021-06-01,13,18.0
8200255,2021-06-01,12,12.3
8200558,2021-06-01,12,11.7
8200574,2021-06-01,12,17.0
8200604,2021-06-01,12,14.4
8200774,2021-06-01,12,18.1
8300301,2021-06-01,11,17.4
8300497,2021-06-01,11,18.8
8300562,2021-06-01,11,17.3
8300590,2021-06-01,11,17.8
8300596,2021-06-01,11,17.8
8400601,2021-06-01,10,12.8
8400812,2021-06-01,10,13.5
8401295,2021-06-01,10,13.7
8401298,2021-06-01,10,15.5
8401300,2021-06-01,10,16.0
1011500,2021-07-01,59,21.3
1012475,2021-07-01,59,14.8
1012710,2021-07-01,59,17.1
1014820,2021-07-01,59,20.5
1015630,2021-07-01,59,20.3
2100155,2021-07-01,60,14.7
2100181,2021-07-01,60,13.1
2100184,2021-07-01,60,13.1
2100301,2021-07-01,60,16.1
2100407,2021-07-01,60,16.6
2200105,2021-07-01,61,16.3
2200675,2021-07-01,61,6.2
2200827,2021-07-01,61,15.6
2201022,2021-07-01,61,14.3
2201023,2021-07-01,61,14.4
2300501,2021-07-01,62,11.6
2300503,2021-07-01,62,11.3
2300504,2021-07-01,62,11.3
2300551,2021-07-01,62,12.3
2300710,2021-07-01,62,10.8
3010010,2021-07-01,48,18.4
3010060,2021-07-01,48,18.5
3010162,2021-07-01,48,19.2
3010237,2021-07-01,48,17.7
3010650,2021-07-01,48,19.2
4010811,2021-07-01,47,20.9
4010879,2021-07-01,47,20.5
4012403,2021-07-01,47,21.7
4012410,2021-07-01,47,21.7
4013480,2021-07-01,47,20.3
5010140,2021-07-01,46,21.8
5010481,2021-07-01,46,20.4
5010490,2021-07-01,46,20.5
5010547,2021-07-01,46,21.0
5010641,2021-07-01,46,21.1
6010400,2021-07-01,35,14.4
6010735,2021-07-01,35,16.7
6010740,2021-07-01,35,16.4
6012199,2021-07-01,35,20.2
6012501,2021-07-01,35,13.3
7010565,2021-07-01,24,19.4
7011983,2021-07-01,24,17.9
7014160,2021-07-01,24,19.7
7015791,2021-07-01,24,13.0
7016293,2021-07-01,24,18.1
8100300,2021-07-01,13,18.0
8100467,2021-07-01,13,17.7
8100506,2021-07-01,13,17.7
8100885,2021-07-01,13,17.3
8100989,2021-07-01,13,18.2
8200255,2021-07-01,12,14.8
8200558,2021-07-01,12,15.9
8200574,2021-07-01,12,18.4
8200604,2021-07-01,12,15.3
8200774,2021-07-01,12,18.3
8300301,2021-07-01,11,17.6
8300497,2021-07-01,11,18.5
8300562,2021-07-01,11,17.6
8300590,2021-07-01,11,17.9
8300596,2021-07-01,11,17.9
8400601,2021-07-01,10,15.1
8400812,2021-07-01,10,14.6
8401295,2021-07-01,10,14.4
8401298,2021-07-01,10,15.9
8401300,2021-07-01,10,16.5
1011500,2021-08-01,59,20.2
1012475,2021-08-01,59,15.9
1012710,2021-08-01,59,16.8
1014820,2021-08-01,59,19.5
1015630,2021-08-01,59,18.8
2100155,2021-08-01,60,11.4
2100181,2021-08-01,60,11.0
2100184,2021-08-01,60,11.0
2100301,2021-08-01,60,13.9
2100407,2021-08-01,60,13.0
2200105,2021-08-01,61,10.9
2200675,2021-08-01,61,5.0
2200827,2021-08-01,61,11.3
2201022,2021-08-01,61,11.6
2201023,2021-08-01,61,11.8
2300501,2021-08-01,62,10.0
2300503,2021-08-01,62,10.1
2300504,2021-08-01,62,10.0
2300551,2021-08-01,62,10.6
2300710,2021-08-01,62,8.7
3010010,2021-08-01,48,14.7
3010060,2021-08-01,48,16.8
3010162,2021-08-01,48,17.5
3010237,2021-08-01,48,16.0
3010650,2021-08-01,48,17.5
4010811,2021-08-01,47,17.5
4010879,2021-08-01,47,17.0
4012403,2021-08-01,47,18.9
4012410,2021-08-01,47,18.3
4013480,2021-08-01,47,17.1
5010140,2021-08-01,46,18.2
5010481,2021-08-01,46,17.1
5010490,2021-08-01,46,17.5
5010547,2021-08-01,46,17.6
5010641,2021-08-01,46,18.0
6010400,2021-08-01,35,15.1
6010735,2021-08-01,35,14.4
6010740,2021-08-01,35,14.1
6012199,2021-08-01,35,18.9
6012501,2021-08-01,35,12.7
7010565,2021-08-01,24,22.5
7011983,2021-08-01,24,21.5
7014160,2021-08-01,24,22.6
7015791,2021-08-01,24,15.9
7016293,2021-08-01,24,21.2
8100300,2021-08-01,13,20.7
8100467,2021-08-01,13,20.4
8100506,2021-08-01,13,20.7
8100885,2021-08-01,13,19.8
8100989,2021-08-01,13,21.0
8200255,2021-08-01,12,16.0
8200558,2021-08-01,12,17.8
8200574,2021-08-01,12,19.8
8200604,2021-08-01,12,17.0
8200774,2021-08-01,12,21.2
8300301,2021-08-01,11,20.5
8300497,2021-08-01,11,20.9
8300562,2021-08-01,11,20.4
8300590,2021-08-01,11,20.9
8300596,2021-08-01,11,20.3
8400601,2021-08-01,10,17.2
8400812,2021-08-01,10,17.8
8401295,2021-08-01,10,16.9
8401298,2021-08-01,10,18.6
8401300,2021-08-01,10,19.6
1011500,2021-09-01,59,15.6
1012475,2021-09-01,59,13.7
1012710,2021-09-01,59,14.1
1014820,2021-09-01,59,14.7
1015630,2021-09-01,59,15.2
2100155,2021-09-01,60,3.6
2100181,2021-09-01,60,4.2
2100184,2021-09-01,60,4.1
2100301,2021-09-01,60,6.7
2100407,2021-09-01,60,5.8
2200105,2021-09-01,61,5.7
2200675,2021-09-01,61,1.8
2200827,2021-09-01,61,5.8
2201022,2021-09-01,61,7.1
2201023,2021-09-01,61,6.9
2300501,2021-09-01,62,5.7
2300503,2021-09-01,62,5.9
2300504,2021-09-01,62,5.9
2300551,2021-09-01,62,5.7
2300710,2021-09-01,62,4.4
3010010,2021-09-01,48,10.3
3010060,2021-09-01,48,11.8
3010162,2021-09-01,48,12.9
3010237,2021-09-01,48,11.9
3010650,2021-09-01,48,13.9
4010811,2021-09-01,47,13.8
4010879,2021-09-01,47,14.0
4012403,2021-09-01,47,15.3
4012410,2021-09-01,47,15.3
4013480,2021-09-01,47,14.5
5010140,2021-09-01,46,15.7
5010481,2021-09-01,46,14.9
5010490,2021-09-01,46,15.1
5010547,2021-09-01,46,15.2
5010641,2021-09-01,46,15.5
6010400,2021-09-01,35,11.3
6010735,2021-09-01,35,12.2
6010740,2021-09-01,35,12.3
6012199,2021-09-01,35,14.4
6012501,2021-09-01,35,10.4
7010565,2021-09-01,24,15.9
7011983,2021-09-01,24,14.5
7014160,2021-09-01,24,16.4
7015791,2021-09-01,24,9.8
7016293,2021-09-01,24,14.4
8100300,2021-09-01,13,14.9
8100467,2021-09-01,13,14.8
8100506,2021-09-01,13,14.4
8100885,2021-09-01,13,13.7
8100989,2021-09-01,13,15.1
8200255,2021-09-01,12,15.2
8200558,2021-09-01,12,16.7
8200574,2021-09-01,12,16.2
8200604,2021-09-01,12,15.6
8200774,2021-09-01,12,17.2
8300301,2021-09-01,11,16.1
8300497,2021-09-01,11,17.4
8300562,2021-09-01,11,15.9
8300590,2021-09-01,11,16.6
8300596,2021-09-01,11,16.0
8400601,2021-09-01,10,14.1
8400812,2021-09-01,10,13.6
8401295,2021-09-01,10,12.6
8401298,2021-09-01,10,14.1
8401300,2021-09-01,10,15.3
1011500,2021-10-01,59,9.9
1012475,2021-10-01,59,10.5
1012710,2021-10-01,59,10.1
1014820,2021-10-01,59,8.5
1015630,2021-10-01,59,9.4
2100155,2021-10-01,60,-6.1
2100181,2021-10-01,60,-1.9
2100184,2021-10-01,60,-1.8
2100301,2021-10-01,60,0.5
2100407,2021-10-01,60,-1.2
2200105,2021-10-01,61,-3.4
2200675,2021-10-01,61,-1.8
2200827,2021-10-01,61,-2.4
2201022,2021-10-01,61,-0.6
2201023,2021-10-01,61,-0.6
2300501,2021-10-01,62,0.7
2300503,2021-10-01,62,0.7
2300504,2021-10-01,62,0.8
2300551,2021-10-01,62,0.1
2300710,2021-10-01,62,1.1
3010010,2021-10-01,48,2.5
3010060,2021-10-01,48,3.5
3010162,2021-10-01,48,5.4
3010237,2021-10-01,48,3.6
3010650,2021-10-01,48,6.2
4010811,2021-10-01,47,6.3
4010879,2021-10-01,47,6.8
4012403,2021-10-01,47,7.4
4012410,2021-10-01,47,7.5
4013480,2021-10-01,47,6.8
5010140,2021-10-01,46,7.8
5010481,2021-10-01,46,7.2
5010490,2021-10-01,46,7.7
5010547,2021-10-01,46,8.0
5010641,2021-10-01,46,8.0
6010400,2021-10-01,35,8.4
6010735,2021-10-01,35,7.0
6010740,2021-10-01,35,7.2
6012199,2021-10-01,35,9.3
6012501,2021-10-01,35,6.0
7010565,2021-10-01,24,11.5
7011983,2021-10-01,24,9.8
7014160,2021-10-01,24,11.3
7015791,2021-10-01,24,6.5
7016293,2021-10-01,24,9.8
8100300,2021-10-01,13,10.1
8100467,2021-10-01,13,9.7
8100506,2021-10-01,13,9.4
8100885,2021-10-01,13,9.6
8100989,2021-10-01,13,10.0
8200255,2021-10-01,12,13.1
8200558,2021-10-01,12,12.5
8200574,2021-10-01,12,10.5
8200604,2021-10-01,12,12.6
8200774,2021-10-01,12,12.0
8300301,2021-10-01,11,10.4
8300497,2021-10-01,11,10.8
8300562,2021-10-01,11,10.7
8300590,2021-10-01,11,11.0
8300596,2021-10-01,11,10.9
8400601,2021-10-01,10,7.9
8400812,2021-10-01,10,7.7
8401295,2021-10-01,10,6.3
8401298,2021-10-01,10,7.3
8401300,2021-10-01,10,8.4
1011500,2021-11-01,59,7.0
1012475,2021-11-01,59,8.9
1012710,2021-11-01,59,8.3
1014820,2021-11-01,59,5.9
1015630,2021-11-01,59,6.6
2100155,2021-11-01,60,-21.9
2100181,2021-11-01,60,-17.8
2100184,2021-11-01,60,-17.9
2100301,2021-11-01,60,-14.3
2100407,2021-11-01,60,-19.2
2200105,2021-11-01,61,-17.2
2200675,2021-11-01,61,-12.2
2200827,2021-11-01,61,-17.8
2201022,2021-11-01,61,-15.8
2201023,2021-11-01,61,-15.7
2300501,2021-11-01,62,-13.7
2300503,2021-11-01,62,-14.0
2300504,2021-11-01,62,-13.5
2300551,2021-11-01,62,-13.2
2300710,2021-11-01,62,-10.4
3010010,2021-11-01,48,-4.8
3010060,2021-11-01,48,-4.2
3010162,2021-11-01,48,-1.4
3010237,2021-11-01,48,-3.9
3010650,2021-11-01,48,-1.0
4010811,2021-11-01,47,-2.1
4010879,2021-11-01,47,-2.4
4012403,2021-11-01,47,-1.2
4012410,2021-11-01,47,-1.0
4013480,2021-11-01,47,-2.4
5010140,2021-11-01,46,-2.4
5010481,2021-11-01,46,-3.2
5010490,2021-11-01,46,-2.8
5010547,2021-11-01,46,-2.5
5010641,2021-11-01,46,-2.2
6010400,2021-11-01,35,-3.5
6010735,2021-11-01,35,-5.3
6010740,2021-11-01,35,-4.9
6012199,2021-11-01,35,-2.0
6012501,2021-11-01,35,-5.9
7010565,2021-11-01,24,1.9
7011983,2021-11-01,24,-0.2
7014160,2021-11-01,24,1.5
7015791,2021-11-01,24,-2.6
7016293,2021-11-01,24,0.3
8100300,2021-11-01,13,1.4
8100467,2021-11-01,13,3.0
8100506,2021-11-01,13,1.4
8100885,2021-11-01,13,1.5
8100989,2021-11-01,13,2.0
8200255,2021-11-01,12,7.3
8200558,2021-11-01,12,7.1
8200574,2021-11-01,12,4.5
8200604,2021-11-01,12,7.3
8200774,2021-11-01,12,6.4
8300301,2021-11-01,11,4.5
8300497,2021-11-01,11,4.7
8300562,2021-11-01,11,5.5
8300590,2021-11-01,11,5.2
8300596,2021-11-01,11,4.3
8400601,2021-11-01,10,5.9
8400812,2021-11-01,10,3.9
8401295,2021-11-01,10,3.8
8401298,2021-11-01,10,4.9
8401300,2021-11-01,10,5.9
1011500,2021-12-01,59,2.2
1012475,2021-12-01,59,3.8
1012710,2021-12-01,59,3.2
1014820,2021-12-01,59,0.0
1015630,2021-12-01,59,1.3
2100155,2021-12-01,60,-23.1
2100181,2021-12-01,60,-21.4
2100184,2021-12-01,60,-22.1
2100301,2021-12-01,60,-23.7
2100407,2021-12-01,60,-26.1
2200105,2021-12-01,61,-24.2
2200675,2021-12-01,61,-24.7
2200827,2021-12-01,61,-27.2
2201022,2021-12-01,61,-26.6
2201023,2021-12-01,61,-26.5
2300501,2021-12-01,62,-25.1
2300503,2021-12-01,62,-26.6
2300504,2021-12-01,62,-25.1
2300551,2021-12-01,62,-25.8
2300710,2021-12-01,62,-21.4
