vaccinationdate,vaccinationprovinceid,fullyvaccinated,partiallyvaccinated
2022-01-08,61,31233,3143
2022-01-08,62,25479,5333
2022-01-15,1,29630475,2262003
2022-01-15,10,448695,39502
2022-01-15,11,134852,11551
2022-01-15,12,808069,72792
2022-01-15,13,629535,57613
2022-01-15,24,6773893,530237
2022-01-15,35,11494488,800830
2022-01-15,46,1043292,90450
2022-01-15,47,868235,70904
2022-01-15,48,3224933,266768
2022-01-15,59,4114368,309736
2022-01-15,60,33058,3034
2022-01-15,61,31329,3186
2022-01-15,62,25728,5400
2022-01-22,1,29812731,2221892
2022-01-22,10,452482,41105
2022-01-22,11,135791,11800
2022-01-22,12,809892,74247
2022-01-22,13,632105,58331
2022-01-22,24,6826930,503345
2022-01-22,35,11569006,784611
2022-01-22,46,1050794,87621
2022-01-22,47,877108,66677
2022-01-22,48,3241955,265675
2022-01-22,59,4125911,316930
2022-01-22,60,33230,3024
2022-01-22,61,31599,3031
2022-01-22,62,25928,5495
2022-01-30,1,30105506,2034316
2022-01-30,10,458347,36786
2022-01-30,11,137084,11176
2022-01-30,12,813733,73320
2022-01-30,13,637747,55278
2022-01-30,24,6921928,425436
2022-01-30,35,11677203,719433
2022-01-30,46,1061548,80693
2022-01-30,47,886082,61621
2022-01-30,48,3274722,248024
2022-01-30,59,4145077,311841
2022-01-30,60,33358,2985
2022-01-30,61,32135,2584
2022-01-30,62,26542,5139
2022-02-06,1,30358947,1851851
2022-02-06,10,463237,32750
2022-02-06,11,138249,10431
2022-02-06,12,823560,66123
2022-02-06,13,644352,50293
2022-02-06,24,6988934,367421
2022-02-06,35,11772304,657206
2022-02-06,46,1071295,73730
2022-02-06,47,890238,59249
2022-02-06,48,3299047,231197
2022-02-06,59,4174178,293782
2022-02-06,60,33668,2718
2022-02-06,61,32618,2183
2022-02-06,62,27267,4768
2022-02-13,1,30576000,1696793
2022-02-13,10,467252,29592
2022-02-13,11,139817,9310
2022-02-13,12,832543,58784
2022-02-13,13,649889,46140
2022-02-13,24,7044756,323969
2022-02-13,35,11851230,606602
2022-02-13,46,1081669,65952
2022-02-13,47,893454,57374
2022-02-13,48,3314739,220362
2022-02-13,59,4205755,269908
2022-02-13,60,34078,2379
2022-02-13,61,32911,1975
2022-02-13,62,27907,4446
2022-02-20,1,30750373,1575775
2022-02-20,10,470626,26820
2022-02-20,11,140935,8416
2022-02-20,12,839814,56050
2022-02-20,13,652760,44048
2022-02-20,24,7078714,295969
2022-02-20,35,11910333,566890
2022-02-20,46,1089622,59852
2022-02-20,47,895622,55934
2022-02-20,48,3329810,209445
2022-02-20,59,4246264,244252
2022-02-20,60,34383,2105
2022-02-20,61,33080,1843
2022-02-20,62,28410,4151
2022-02-27,1,30854299,1498919
2022-02-27,10,473994,23926
2022-02-27,11,141226,8295
2022-02-27,12,843118,53404
2022-02-27,13,655002,42401
2022-02-27,24,7100105,278808
2022-02-27,35,11947990,541719
2022-02-27,46,1093993,56497
2022-02-27,47,897766,54387
2022-02-27,48,3340544,201427
2022-02-27,59,4264133,230382
2022-02-27,60,34611,1888
2022-02-27,61,33214,1744
2022-02-27,62,28603,4041
2022-03-06,1,30925371,1447571
2022-03-06,10,474956,23146
2022-03-06,11,141752,7881
2022-03-06,12,844883,52040
2022-03-06,13,656304,41440
2022-03-06,24,7113055,268612
2022-03-06,35,11976813,521679
2022-03-06,46,1097641,53861
2022-03-06,47,899317,53432
2022-03-06,48,3348165,195832
2022-03-06,59,4275712,222232
2022-03-06,60,34705,1785
2022-03-06,61,33214,1744
2022-03-06,62,28854,3887
2022-03-13,1,30991642,1398278
2022-03-13,10,476056,22227
2022-03-13,11,142664,7085
2022-03-13,12,846363,50844
2022-03-13,13,657270,40727
2022-03-13,24,7125565,258344
2022-03-13,35,12002626,503742
2022-03-13,46,1100314,51807
